JobIDRaw,JobID,JobName,Partition,Submit,Start,End,State,ExitCode,ElapsedRaw,Elapsed,AllocCPUS,AllocNodes,ReqMem,TotalCPU,CPUTimeRAW,MaxRSS,MaxVMSize,AveRSS,AveVMSize
73125,73125,submitit,gpu8,2026-04-18T15:04:34,2026-04-18T15:04:34,2026-04-18T20:02:51,REQUEUED,0:0,17897,04:58:17,80,1,440G,1-22:05:51,1431760,,,,
73125.batch,73125.batch,batch,,2026-04-18T15:04:34,2026-04-18T15:04:34,2026-04-18T20:02:53,CANCELLED,0:15,17899,04:58:19,80,1,,00:00.005,1431920,6356K,0,6356K,0
73125.extern,73125.extern,extern,,2026-04-18T15:04:34,2026-04-18T15:04:34,2026-04-18T20:03:17,COMPLETED,0:0,17923,04:58:43,80,1,,00:00.001,1433840,428K,0,428K,0
73125.0,73125.0,python3,,2026-04-18T15:04:39,2026-04-18T15:04:39,2026-04-18T20:03:30,CANCELLED,0:9,17931,04:58:51,80,1,,1-22:05:51,1434480,10548560K,0,10474636.50K,0
73125,73125,submitit,gpu8,2026-04-18T20:03:39,2026-04-18T20:06:18,2026-04-19T01:04:48,REQUEUED,0:0,17910,04:58:30,80,1,440G,2-00:15:14,1432800,,,,
73125.batch,73125.batch,batch,,2026-04-18T20:06:18,2026-04-18T20:06:18,2026-04-19T01:04:49,CANCELLED,0:15,17911,04:58:31,80,1,,00:00.005,1432880,6364K,0,6364K,0
73125.extern,73125.extern,extern,,2026-04-18T20:06:18,2026-04-18T20:06:18,2026-04-19T01:05:16,COMPLETED,0:0,17938,04:58:58,80,1,,00:00.001,1435040,440K,0,440K,0
73125.0,73125.0,python3,,2026-04-18T20:06:23,2026-04-18T20:06:23,2026-04-19T01:05:26,FAILED,127:0,17943,04:59:03,80,1,,2-00:15:14,1435440,12046456K,0,11749292.50K,0
73125,73125,submitit,gpu8,2026-04-19T01:05:35,2026-04-19T01:08:18,2026-04-19T06:06:48,REQUEUED,0:0,17910,04:58:30,80,1,440G,2-09:24:18,1432800,,,,
73125.batch,73125.batch,batch,,2026-04-19T01:08:18,2026-04-19T01:08:18,2026-04-19T06:06:49,CANCELLED,0:15,17911,04:58:31,80,1,,00:00.005,1432880,6544K,0,6544K,0
73125.extern,73125.extern,extern,,2026-04-19T01:08:18,2026-04-19T01:08:18,2026-04-19T06:07:17,COMPLETED,0:0,17939,04:58:59,80,1,,00:00.001,1435120,436K,0,436K,0
73125.0,73125.0,python3,,2026-04-19T01:08:23,2026-04-19T01:08:23,2026-04-19T06:07:26,FAILED,127:0,17943,04:59:03,80,1,,2-09:24:18,1435440,12048284K,0,11797508K,0
